action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
INHIBITOR,Carbonic anhydrase VII inhibitor,CHEMBL19,CHEMBL2326
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL1201117,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL1200814,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL17,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL20,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL19,CHEMBL261
INHIBITOR,Cytochrome b inhibitor,CHEMBL1450,CHEMBL1777
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200771,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1722209,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1240,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200906,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1724,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1626570,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200880,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200479,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1768,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1578,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL2146146,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL517712,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200604,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200803,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200935,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL551466,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1200764,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL3545181,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1201765,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200473,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1184,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL14,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL550,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1200330,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL2218917,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200950,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL2134724,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1354199,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1231,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1133,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200891,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1201027,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200347,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL3084748,CHEMBL245
INHIBITOR,DNA topoisomerase I inhibitor,CHEMBL3989514,CHEMBL1781
ANTAGONIST,Vascular endothelial growth factor A antagonist,CHEMBL1201421,CHEMBL1783
INHIBITOR,Vascular endothelial growth factor A inhibitor,CHEMBL1201825,CHEMBL1783
INHIBITOR,Vascular endothelial growth factor A inhibitor,CHEMBL1742982,CHEMBL1783
INHIBITOR,Vascular endothelial growth factor A inhibitor,CHEMBL1201583,CHEMBL1783
AGONIST,Glucagon-like peptide 1 receptor agonist,CHEMBL4084119,CHEMBL1784
AGONIST,Glucagon-like peptide 1 receptor agonist,CHEMBL414357,CHEMBL1784
INHIBITOR,Inositol-1(or 4)-monophosphatase 1 inhibitor,CHEMBL1200826,CHEMBL1786
INHIBITOR,Inositol-1(or 4)-monophosphatase 1 inhibitor,CHEMBL2103738,CHEMBL1786
AGONIST,Vasopressin V2 receptor agonist,CHEMBL1201528,CHEMBL1790
ANTAGONIST,Vasopressin V2 receptor antagonist,CHEMBL344159,CHEMBL1790
ANTAGONIST,Vasopressin V2 receptor antagonist,CHEMBL1201108,CHEMBL1790
AGONIST,Somatostatin receptor 5 agonist,CHEMBL5314380,CHEMBL1792
AGONIST,Somatostatin receptor 5 agonist,CHEMBL1201184,CHEMBL1792
AGONIST,Parathyroid hormone receptor agonist,CHEMBL525610,CHEMBL1793
AGONIST,Parathyroid hormone receptor agonist,CHEMBL1201549,CHEMBL1793
INHIBITOR,Gastric lipase inhibitor,CHEMBL175247,CHEMBL1796
ANTAGONIST,Cysteinyl leukotriene receptor 1 antagonist,CHEMBL603,CHEMBL1798
ANTAGONIST,Cysteinyl leukotriene receptor 1 antagonist,CHEMBL1200681,CHEMBL1798
INHIBITOR,Thrombin inhibitor,CHEMBL1201662,CHEMBL204
INHIBITOR,Thrombin inhibitor,CHEMBL5314348,CHEMBL204
INHIBITOR,Thrombin inhibitor,CHEMBL1201666,CHEMBL204
INHIBITOR,Thrombin inhibitor,CHEMBL1615369,CHEMBL204
INHIBITOR,Thrombin inhibitor,CHEMBL1166,CHEMBL204
EXOGENOUS PROTEIN,Tissue-type plasminogen activator exogenous protein,CHEMBL2108791,CHEMBL1873
ACTIVATOR,Plasminogen activator,CHEMBL2108147,CHEMBL1801
EXOGENOUS PROTEIN,Tissue-type plasminogen activator exogenous protein,CHEMBL2107885,CHEMBL1873
EXOGENOUS PROTEIN,Urokinase-type plasminogen activator exogenous protein,CHEMBL1201420,CHEMBL3286
INHIBITOR,Plasminogen inhibitor,CHEMBL1201619,CHEMBL1801
EXOGENOUS PROTEIN,Tissue-type plasminogen activator exogenous protein,CHEMBL1201593,CHEMBL1873
INHIBITOR,Plasminogen inhibitor,CHEMBL877,CHEMBL1801
INHIBITOR,Plasminogen inhibitor,CHEMBL1046,CHEMBL1801
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL220491,CHEMBL205
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL1201162,CHEMBL205
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL17,CHEMBL205
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL19,CHEMBL205
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL220492,CHEMBL205
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL20,CHEMBL205
INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL1200814,CHEMBL205
AGONIST,Somatostatin receptor 2 agonist,CHEMBL5314380,CHEMBL1804
AGONIST,Somatostatin receptor 2 agonist,CHEMBL1201184,CHEMBL1804
AGONIST,Serotonin 1f (5-HT1f) receptor agonist,CHEMBL1201003,CHEMBL1805
AGONIST,Serotonin 1f (5-HT1f) receptor agonist,CHEMBL1200521,CHEMBL1805
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1200645,CHEMBL1806
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1200475,CHEMBL1806
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1563,CHEMBL1806
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL359744,CHEMBL1806
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1417019,CHEMBL1806
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1096885,CHEMBL1806
INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1200976,CHEMBL1806
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1201011,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1519,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1200534,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL3989406,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1168,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL3039596,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1694,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1560,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1200343,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL419213,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1200659,CHEMBL1808
INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1200831,CHEMBL1808
AGONIST,Thyrotropin-releasing hormone receptor agonist,CHEMBL1472,CHEMBL1810
AGONIST,Prostanoid EP1 receptor agonist,CHEMBL495,CHEMBL1811
INHIBITOR,Histone deacetylase 1 inhibitor,CHEMBL98,CHEMBL325
INHIBITOR,Pancreatic lipase inhibitor,CHEMBL175247,CHEMBL1812
AGONIST,Erythropoietin receptor agonist,CHEMBL1963684,CHEMBL1817
AGONIST,Erythropoietin receptor agonist,CHEMBL1201565,CHEMBL1817
AGONIST,Erythropoietin receptor agonist,CHEMBL1201566,CHEMBL1817
INHIBITOR,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,CHEMBL1643,CHEMBL1822
INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,CHEMBL1201585,CHEMBL1824
INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,CHEMBL2007641,CHEMBL1824
BINDING AGENT,Receptor protein-tyrosine kinase erbB-2 binding agent,CHEMBL1743082,CHEMBL1824
INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,CHEMBL1201179,CHEMBL1824
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201659,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL3989885,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200491,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200497,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200618,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1716,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL3544908,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200638,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200750,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200809,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200961,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201006,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1607273,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1719,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200532,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200927,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL998,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1659,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200795,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1237102,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200967,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201068,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL3989555,CHEMBL231
AGONIST,Histamine H1 receptor agonist,CHEMBL3989520,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200974,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201747,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1224,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL3188034,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200769,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL3186993,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1172,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1620,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1653,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200392,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200446,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200550,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201190,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201759,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1564,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1633,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL2360580,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200406,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL2103739,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200959,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201089,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201023,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200395,CHEMBL231
AGONIST,Histamine H1 receptor agonist,CHEMBL1689,CHEMBL231
ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200948,CHEMBL231
INHIBITOR,TNF-alpha inhibitor,CHEMBL1201581,CHEMBL1825
INHIBITOR,TNF-alpha inhibitor,CHEMBL1201831,CHEMBL1825
INHIBITOR,TNF-alpha inhibitor,CHEMBL1201580,CHEMBL1825
INHIBITOR,TNF-alpha inhibitor,CHEMBL1201572,CHEMBL1825
INHIBITOR,TNF-alpha inhibitor,CHEMBL1201833,CHEMBL1825
INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL779,CHEMBL1827
INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL1339,CHEMBL1827
INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL1737,CHEMBL1827
INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL1963681,CHEMBL1827
INHIBITOR,Histone deacetylase 3 inhibitor,CHEMBL98,CHEMBL1829
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL2359670,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL3989478,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1200951,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL567,CHEMBL217
MODULATOR,Dopamine D2 receptor modulator,CHEMBL1200707,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL728,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1448187,CHEMBL217
AGONIST,Dopamine D2 receptor agonist,CHEMBL1201087,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1314751,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1200854,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL2360079,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL908,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1201102,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL3544974,CHEMBL217
PARTIAL AGONIST,Dopamine D2 receptor partial agonist,CHEMBL1112,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL2107360,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL14376,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1201052,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1200940,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1200419,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1621,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1201,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL3989824,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL570,CHEMBL217
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1200948,CHEMBL217
AGONIST,Calcitonin receptor agonist,CHEMBL4594248,CHEMBL1832
AGONIST,Calcitonin receptor agonist,CHEMBL3989767,CHEMBL1832
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL2103795,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL995,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1513,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1069,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1200670,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1200692,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1014,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1200987,CHEMBL227
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1017,CHEMBL227
PARTIAL AGONIST,Serotonin 2b (5-HT2b) receptor partial agonist,CHEMBL1200843,CHEMBL1833
ANTAGONIST,Serotonin 2b (5-HT2b) receptor antagonist,CHEMBL1200938,CHEMBL1833
INHIBITOR,Ig epsilon chain C region inhibitor,CHEMBL1201589,CHEMBL1834
INHIBITOR,Thyroid peroxidase inhibitor,CHEMBL1515,CHEMBL1839
INHIBITOR,Thyroid peroxidase inhibitor,CHEMBL1518,CHEMBL1839
BINDING AGENT,Myeloid cell surface antigen CD33 binding agent,CHEMBL1201506,CHEMBL1842
INHIBITOR,DOPA decarboxylase inhibitor,CHEMBL1200748,CHEMBL1843
INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,CHEMBL1201733,CHEMBL1844
INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,CHEMBL1567,CHEMBL1844
AGONIST,Alpha-1a adrenergic receptor agonist,CHEMBL1201535,CHEMBL229
ANTAGONIST,Alpha-1a adrenergic receptor antagonist,CHEMBL24778,CHEMBL229
ANTAGONIST,Alpha-1a adrenergic receptor antagonist,CHEMBL1201044,CHEMBL229
AGONIST,Alpha-1a adrenergic receptor agonist,CHEMBL1200695,CHEMBL229
INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL1201827,CHEMBL203
INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL1201577,CHEMBL203
INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL1079742,CHEMBL203
INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL939,CHEMBL203
INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL1201179,CHEMBL203
AGONIST,Dopamine D3 receptor agonist,CHEMBL1009,CHEMBL234
ANTAGONIST,Dopamine D3 receptor antagonist,CHEMBL908,CHEMBL234
ANTAGONIST,Ryanodine receptor 1 antagonist,CHEMBL928,CHEMBL1846
INHIBITOR,Enoyl-[acyl-carrier-protein] reductase inhibitor,CHEMBL64,CHEMBL1849
INHIBITOR,Enoyl-[acyl-carrier-protein] reductase inhibitor,CHEMBL1441,CHEMBL1849
AGONIST,Luteinizing hormone/Choriogonadotropin receptor agonist,CHEMBL1201419,CHEMBL1854
AGONIST,Luteinizing hormone/Choriogonadotropin receptor agonist,CHEMBL1201464,CHEMBL1854
AGONIST,Luteinizing hormone/Choriogonadotropin receptor agonist,CHEMBL1201509,CHEMBL1854
AGONIST,Luteinizing hormone/Choriogonadotropin receptor agonist,CHEMBL1201697,CHEMBL1854
ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist,CHEMBL2103735,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200671,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200511,CHEMBL1855
ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist,CHEMBL1252,CHEMBL1855
ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist,CHEMBL2028987,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200501,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200509,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200516,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200554,CHEMBL1855
ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist,CHEMBL5314377,CHEMBL1855
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL1200775,CHEMBL1855
INHIBITOR,Steroid 5-alpha-reductase 2 inhibitor,CHEMBL710,CHEMBL1856
INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL93,CHEMBL215
INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL1200760,CHEMBL215
INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL1562610,CHEMBL215
INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL704,CHEMBL215
INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL1201013,CHEMBL215
INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL421,CHEMBL215
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200906,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200347,CHEMBL216
AGONIST,Muscarinic acetylcholine receptor M1 agonist,CHEMBL2218917,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200880,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1240,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1724,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1578,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1092,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200828,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1201035,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1626570,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1201067,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200479,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200771,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL2146146,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1761,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL517712,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1529,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL569713,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200426,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200970,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200950,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1354199,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200383,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1201027,CHEMBL216
ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200891,CHEMBL216
INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1201740,CHEMBL1862
INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1421,CHEMBL1862
INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL288441,CHEMBL1862
INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1946170,CHEMBL1862
INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1642,CHEMBL1862
AGONIST,Thrombopoietin receptor agonist,CHEMBL1201832,CHEMBL1864
AGONIST,Thrombopoietin receptor agonist,CHEMBL3989691,CHEMBL1864
INHIBITOR,Histone deacetylase 6 inhibitor,CHEMBL98,CHEMBL1865
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL24,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1200837,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1200813,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1201115,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1200745,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1472989,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1201177,CHEMBL213
PARTIAL AGONIST,Beta-1 adrenergic receptor partial agonist,CHEMBL500,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1200947,CHEMBL213
AGONIST,Beta-1 adrenergic receptor agonist,CHEMBL1200418,CHEMBL213
AGONIST,Beta-1 adrenergic receptor agonist,CHEMBL1557,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL521606,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1671,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL2361370,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1700,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL3989566,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1691,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1200870,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL2356097,CHEMBL213
ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL2062335,CHEMBL213
