ensembl_id,efo_id_norm,target_name,disease_name,phase,label,overall_score,literature,somatic_mutation,clinical,affected_pathway,rna_expression,genetic_association,genetic_literature,animal_model
ENSG00000000938,EFO_0000095,FGR,chronic lymphocytic leukemia,2,0,0.1116499598302585,0.0505460684280862,0.0,0.1805127125261935,0.0,0.0277060520437436,0.0,0.0,0.0
ENSG00000000938,EFO_0000180,FGR,HIV-1 infection,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000181,FGR,head and neck squamous cell carcinoma,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000196,FGR,metastatic prostate cancer,2,0,0.0883295852696437,0.0182379239283486,0.0,0.14438356443276,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000220,FGR,acute lymphoblastic leukemia,4,1,0.5323901171380295,0.0537058811789463,0.0,0.8730560226001718,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000339,FGR,chronic myelogenous leukemia,4,1,0.588926445892605,0.1264165729287551,0.0,0.9619952408231532,0.0,0.0190446755400264,0.0,0.0,0.0
ENSG00000000938,EFO_0000389,FGR,cutaneous melanoma,2,0,0.0748399205736521,0.030396539880581,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000519,FGR,glioblastoma multiforme,2,0,0.0951154820459378,0.030396539880581,0.0,0.1549379185579617,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000574,FGR,lymphoma,1,0,0.5361875000831126,0.1616678091168603,0.0,0.8739043328008721,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000588,FGR,mesothelioma,2,0,0.0838946270134273,0.0243172319044648,0.0,0.1367844294626147,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000616,FGR,neoplasm,4,1,0.6265699393366501,0.8470845078701028,0.0,0.9752301834607788,0.0,0.0,0.0332785194419576,0.0,0.4714055830863212
ENSG00000000938,EFO_0000702,FGR,small cell lung carcinoma,2,0,0.075856265174035,0.0638327337492202,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000708,FGR,squamous cell lung carcinoma,2,0,0.0369579854684701,0.0,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000756,FGR,melanoma,2,0,0.1153120361168628,0.1143456141184572,0.0,0.1767389924389785,0.0,0.0,0.0415981493024471,0.0,0.0
ENSG00000000938,EFO_0000764,FGR,HIV infection,2,0,0.092667159224088,0.0,0.0,0.1519826994029052,0.0,0.0089548203177715,0.0,0.0,0.0
ENSG00000000938,EFO_0000768,FGR,idiopathic pulmonary fibrosis,1,0,0.0443495825621642,0.2431723190446484,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0000770,FGR,malignant pleural mesothelioma,1,0,0.0376971451778395,0.0243172319044648,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0001378,FGR,multiple myeloma,2,0,0.0995504403021542,0.0,0.0,0.1637529151233302,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0002429,FGR,polycythemia vera,2,0,0.0369579854684701,0.0,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0002617,FGR,metastatic melanoma,2,0,0.0881185546542646,0.0,0.0,0.14438356443276,0.0,0.0112953371665611,0.0,0.0,0.0
ENSG00000000938,EFO_0002618,FGR,pancreatic carcinoma,2,0,0.1043960428413536,0.0,0.0,0.1717235633586826,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0003060,FGR,non-small cell lung carcinoma,2,0,0.1330335586784468,0.6475870146049355,0.0,0.1825171016451707,0.0,0.1770142499945637,0.0,0.0,0.0
ENSG00000000938,EFO_0003833,FGR,brain neoplasm,1,0,0.0503039246654177,0.0,0.0,0.0827461363415817,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0003869,FGR,breast neoplasm,2,0,0.1297038325564107,0.4433879899388336,0.0,0.1911835562440381,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0003884,FGR,chronic kidney disease,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0005221,FGR,cholangiocarcinoma,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0009441,FGR,Waldenstrom macroglobulinemia,1,0,0.018478992734235,0.0,0.0,0.030396539880581,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0009606,FGR,macular degeneration,2,0,0.0927645435258601,0.0121586159522324,0.0,0.1519826994029052,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_0022597,FGR,aging,2,0,0.0877752154876166,0.0,0.0,0.14438356443276,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_1000026,FGR,diffuse intrinsic pontine glioma,1,0,0.0369579854684701,0.0,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_1000453,FGR,Paraganglioma,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_1000657,FGR,rectum cancer,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,EFO_1001465,FGR,gliosarcoma,1,0,0.0369579854684701,0.0,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0004355,FGR,childhood leukemia,1,0,0.0373275653231548,0.0121586159522324,0.0,0.0607930797611621,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0004975,FGR,Alzheimer disease,2,0,0.0965761950910437,0.086895264035281,0.0,0.1545157443929537,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0004992,FGR,cancer,2,0,0.6134230570090993,0.7722088443487116,0.0,0.9647147617788872,0.0,0.0,0.0,0.0,0.256911555070671
ENSG00000000938,MONDO_0005575,FGR,colorectal cancer,2,0,0.1130409744745613,0.4090309355134475,0.0,0.1654922726831635,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0007254,FGR,breast cancer,2,0,0.1292180635324004,0.4433604193811188,0.0,0.1903858816133757,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0008315,FGR,prostate cancer,2,0,0.3048845779399053,0.1588093420859868,0.0,0.4935715127751638,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0008903,FGR,lung cancer,2,0,0.1347914458758974,0.6492429721390206,0.0,0.1892595447263244,0.0,0.0,0.0,0.0,0.0
ENSG00000000938,MONDO_0011719,FGR,gastrointestinal stromal tumor,2,0,0.0739159709369403,0.0,0.0,0.1215861595223242,0.0,0.0,0.0,0.0,0.0
